"","fips_county","state","current_adult_asthma","rail_crossings","below_poverty","no_high_school_diploma","riverine_flooding_annualized_frequency"
"555","28003","MS",9.97142857142857,13.7142857142857,0.606585714285714,0.753085714285714,1.416666666
"556","28005","MS",10.6666666666667,4,0.800966666666667,0.7961,0.25
"557","28007","MS",10.75,6,0.717066666666667,0.840883333333333,0.958333333
"558","28009","MS",10.85,14,0.79645,0.92035,0.25
"559","28011","MS",12.3375,6.375,0.9111625,0.8147,1.75
"560","28013","MS",11,4,0.79972,0.82664,0.791666666
"561","28015","MS",10.1,8.5,0.58615,0.7566,0.875
"562","28017","MS",11.175,3,0.753525,0.9021,0.333333333
"563","28019","MS",10.5333333333333,9.66666666666667,0.800466666666667,0.791266666666667,0.541666666
"564","28021","MS",12.5333333333333,0,0.966566666666667,0.810266666666667,0.666666666
"565","28023","MS",10.475,19,0.7136,0.778125,1.291666666
"566","28025","MS",11.02,7.8,0.74866,0.77038,0.625
"567","28027","MS",12.4142857142857,13.7142857142857,0.863742857142857,0.809885714285714,0.785714285142857
"568","28029","MS",10.8666666666667,6.33333333333333,0.774583333333333,0.782516666666667,1.125
"569","28031","MS",10.875,18,0.82035,0.733375,1.083333333
"570","28033","MS",9.43030303030303,1.57575757575758,0.405654545454545,0.519463636363636,2.5
"571","28035","MS",10.5294117647059,6.64705882352941,0.755311764705882,0.593623529411765,3.45098039152941
"572","28037","MS",10.65,30,0.66805,0.71755,0.875
"573","28039","MS",9.82,12.6,0.60704,0.7683,1
"574","28041","MS",9.4,8.5,0.5877,0.8329,0.916666666
"575","28043","MS",11.28,5.4,0.80938,0.79124,2.208333333
"576","28045","MS",9.55714285714286,8.28571428571429,0.583485714285714,0.611371428571429,0.833333333
"577","28047","MS",10,4.08888888888889,0.687734090909091,0.573022222222222,1.75
"578","28049","MS",11.4,2.09375,0.7188265625,0.6012984375,4.4296875
"579","28051","MS",12.98,15.2,0.96838,0.8626,0.833333333
"580","28053","MS",12.7,0,0.9345,0.905366666666667,0.708333333
"581","28055","MS",11.9,0,0.9614,0.9222,0.375
"582","28057","MS",10.08,4.4,0.61224,0.81228,0.541666666
"583","28059","MS",9.86071428571429,5.17857142857143,0.619235714285714,0.54825,1
"584","28061","MS",10.9,9.5,0.7559,0.69735,1.041666666
"585","28063","MS",12.65,0,0.9794,0.8918,0.625
"586","28065","MS",11.3333333333333,0.333333333333333,0.8195,0.820933333333333,0.958333333
"587","28067","MS",10.1,3.78571428571429,0.694876923076923,0.6836,2.94047618985714
"588","28069","MS",11.5,11.5,0.78895,0.72805,0.5
"589","28071","MS",9.75,1.2,0.78328,0.51397,0.916666666
"590","28073","MS",9.3625,3.25,0.577425,0.4473125,2.458333333
"591","28075","MS",10.4473684210526,7.84210526315789,0.678073684210526,0.615963157894737,2.416666666
"592","28077","MS",10.2333333333333,21,0.684466666666667,0.7279,1.083333333
"593","28079","MS",11.16,0,0.77552,0.84588,0.75
"594","28081","MS",10.2,5.78947368421053,0.602388888888889,0.694616666666667,1.89473684210526
"595","28083","MS",12.0625,9.125,0.85115,0.807275,1.375
"596","28085","MS",10.4,13.6666666666667,0.759366666666667,0.618683333333333,1.375
"597","28087","MS",10.3928571428571,10.7142857142857,0.696678571428571,0.627471428571429,1.583333333
"598","28089","MS",9.25714285714286,2.9047619047619,0.370147619047619,0.388176190476191,2.583333333
"599","28091","MS",11.2833333333333,8.16666666666667,0.859733333333333,0.800916666666667,2.208333333
"600","28093","MS",10.85,11.8333333333333,0.697283333333333,0.76905,0.75
"601","28095","MS",10.4444444444444,12.6666666666667,0.657733333333333,0.7559,0.833333333
"602","28097","MS",10.6,11,0.851466666666667,0.801066666666667,0.875
"603","28099","MS",11.4285714285714,7,0.7737,0.806442857142857,1.125
"604","28101","MS",10.58,13,0.79152,0.6674,1.375
"605","28103","MS",11.9333333333333,6,0.870566666666667,0.9044,0.583333333
"606","28105","MS",10.2875,9.5,0.8604375,0.4438,1.083333333
"607","28107","MS",11.2166666666667,8.16666666666667,0.746466666666667,0.824616666666667,0.9027777775
"608","28109","MS",9.88888888888889,5.44444444444444,0.589366666666667,0.673977777777778,0.791666666
"609","28111","MS",10.6,12.6666666666667,0.687766666666667,0.773033333333333,0.916666666
"610","28113","MS",11.075,4.75,0.880525,0.7375,0.541666666
"611","28115","MS",10.05,1.16666666666667,0.6993,0.825216666666667,0.833333333
"612","28117","MS",10.74,8.2,0.75718,0.81178,0.875
"613","28119","MS",12.7,17.3333333333333,0.926566666666667,0.922233333333333,0.208333333
"614","28121","MS",9.45555555555556,4.03703703703704,0.328951851851852,0.467362962962963,3.75
"615","28123","MS",10.9833333333333,4.33333333333333,0.846416666666667,0.857466666666667,1.208333333
"616","28125","MS",12.6,0,0.83465,0.8892,0.666666666
"617","28127","MS",10.98,8.2,0.82066,0.82146,0.875
"618","28129","MS",10.3666666666667,6.66666666666667,0.652866666666667,0.7546,0.875
"619","28131","MS",10.4666666666667,10.6666666666667,0.678666666666667,0.7997,1.166666666
"620","28133","MS",11.8285714285714,7.57142857142857,0.887414285714286,0.864228571428571,1.333333333
"621","28135","MS",11.475,15,0.8889,0.87005,0.541666666
"622","28137","MS",10.56,4.8,0.69174,0.76352,1
"623","28139","MS",10.55,19,0.7348,0.841575,0.791666666
"624","28141","MS",10.15,29,0.67265,0.820975,0.625
"625","28143","MS",11.45,4.33333333333333,0.7037,0.76945,0.361111110666667
"626","28145","MS",9.9,10.3333333333333,0.58345,0.831966666666667,1.041666666
"627","28147","MS",10.9333333333333,0.333333333333333,0.847166666666667,0.797666666666667,0.291666666
"628","28149","MS",10.95,13.9166666666667,0.708991666666667,0.61555,1.958333333
"629","28151","MS",12.0894736842105,8.36842105263158,0.887836842105263,0.805247368421053,2.01315789473684
"630","28153","MS",10.85,5.5,0.696925,0.793375,0.75
"631","28155","MS",10.4333333333333,0,0.825,0.704533333333333,0.75
"632","28157","MS",11.95,5.5,0.88875,0.90795,0.333333333
"633","28159","MS",10.9,8.8,0.76196,0.76712,0.75
"634","28161","MS",10.4,9.66666666666667,0.626866666666667,0.7086,0.375
"635","28163","MS",11.4,10.1666666666667,0.827133333333333,0.837516666666667,1.583333333
"636","37001","NC",9.99444444444444,1.02777777777778,0.559608333333333,0.582863888888889,1.29629629597222
"637","37003","NC",9.97142857142857,7.57142857142857,0.5522,0.772257142857143,0.375
"638","37005","NC",10.3333333333333,0,0.7751,0.844933333333333,0.833333333
"639","37007","NC",11.1166666666667,9.33333333333333,0.667716666666667,0.785416666666667,1.583333333
"640","37009","NC",9.86666666666667,0,0.65995,0.702166666666667,2.208333333
"641","37011","NC",9.64,0,0.55592,0.66326,1.25
"642","37013","NC",10.3727272727273,15.3636363636364,0.681381818181818,0.569554545454545,0.791666666
