"state","FIPSCODE","Category","population_log","current_adult_asthma","below_poverty","no_high_school_diploma","riverine_flooding_annualized_frequency_log"
"NC","37197","Contains solar/wind",10.5299338757938,10.1595596614032,0.631456356828911,0.791365041510663,-0.23361485202361
"NC","37199","No plant",9.83499455609083,9.87226922253159,0.707032014349968,0.678025273077747,0
"SC","45001","No plant",10.1003692606614,10.2906750478273,0.73250606176551,0.797131063132003,-0.613104474117178
"SC","45003","Contains FF and solar/wind ",12.0549532001994,9.2333494398864,0.526776046268539,0.514954345810981,-0.8754687389539
"SC","45005","Contains solar/wind",8.95389853526046,11.1333333333333,0.732333333333333,0.801333333333333,-1.79175947322806
"SC","45007","Contains FF and solar/wind ",12.2415266581811,9.89565712134564,0.559630617465627,0.601356469400501,0.510825623365991
"SC","45009","Contains solar/wind",9.48524111006323,10.0997485331098,0.681500922045264,0.727745934618609,-1.23214368357835
"SC","45011","Contains solar/wind",9.93134588066452,11.62685877262,0.860601396538159,0.807163434303698,-1.09861228966811
"SC","45013","Contains FF and solar/wind ",12.1658910708973,8.44473214183488,0.379093679371658,0.342729014437664,0
"SC","45015","Contains FF and solar/wind ",12.3830591629427,9.4371502361417,0.434751132133547,0.500337913969393,0.589262329241515
"SC","45017","Contains FF and solar/wind ",9.55746990307138,9.90003518648839,0.692454867464227,0.670960942997889,-1.23214368357835
"SC","45019","Contains FF",12.9353371710816,9.69436237088647,0.553196846081615,0.39094837824083,1.35015763684792
"SC","45021","Contains FF and solar/wind ",10.9384320519807,10.5388167180344,0.752747230463462,0.841157744044704,-0.8754687389539
"SC","45025","Contains solar/wind",10.6822388703882,11.0412537678975,0.791298130180859,0.893006532592313,-0.182321557193955
"SC","45027","Contains solar/wind",10.3429353201418,10.801622325333,0.742735153720332,0.779773555429449,-0.6931805622968
"SC","45029","Contains solar/wind",10.5616032329241,9.95597335625268,0.666308293940696,0.526645996275605,-0.538996501304116
"SC","45031","Contains solar/wind",11.0469775999823,10.4928082191781,0.698575733553188,0.703144636817182,-0.453443831910423
"SC","45033","Contains solar/wind",10.2410663195838,11.5840856531049,0.904009361884368,0.880013464668094,-1.56861591951385
"SC","45037","No plant",10.1852018532081,10.0086053412463,0.557063897131553,0.712464248269041,-2.07944154167984
"SC","45041","Contains solar/wind",11.8271593961524,9.89621317903996,0.577781832624019,0.575716268530673,-0.299010492250872
"SC","45043","Contains FF",11.0697584896781,10.1417221437698,0.589770755161052,0.611140878219353,0.117783035656383
