"FIPSCODE","PSTATABB","CNTYNAME","Category"
"22101","LA","St Mary","Contains FF"
"22117","LA","Washington","Contains FF and solar/wind "
"22121","LA","West Baton Rouge","Contains FF and solar/wind "
"22125","LA","West Feliciana","Other plant"
"28007","MS","Attala","Contains FF"
"28009","MS","Benton","Contains FF"
"28015","MS","Carroll","Contains solar/wind"
"28017","MS","Chickasaw","Contains solar/wind"
"28019","MS","Choctaw","Contains FF"
"28021","MS","Claiborne","Other plant"
"28027","MS","Coahoma","Contains FF"
"28035","MS","Forrest","Contains solar/wind"
"28039","MS","George","Contains FF"
"28047","MS","Harrison","Contains FF and solar/wind "
"28049","MS","Hinds","Contains FF"
"28059","MS","Jackson","Contains FF"
"28065","MS","Jefferson Davis","Contains FF"
"28067","MS","Jones","Contains FF"
"28069","MS","Kemper","Contains FF"
"28073","MS","Lamar","Contains FF and solar/wind "
"28075","MS","Lauderdale","Contains solar/wind"
"28077","MS","Lawrence","Other plant"
"28079","MS","Leake","Contains solar/wind"
"28087","MS","Lowndes","Contains FF"
"28093","MS","Marshall","Contains solar/wind"
"28107","MS","Panola","Contains FF"
"28111","MS","Perry","Other plant"
"28121","MS","Rankin","Contains solar/wind"
"28129","MS","Smith","Contains FF"
"28133","MS","Sunflower","Contains solar/wind"
"28149","MS","Warren","Contains FF"
"28151","MS","Washington","Contains FF"
"28163","MS","Yazoo","Contains FF"
"37001","NC","Alamance","Contains solar/wind"
"37003","NC","Alexander","Contains solar/wind"
"37007","NC","Anson","Contains FF and solar/wind "
"37013","NC","Beaufort","Contains solar/wind"
"37015","NC","Bertie","Contains solar/wind"
"37017","NC","Bladen","Contains solar/wind"
"37019","NC","Brunswick","Contains solar/wind"
"37021","NC","Buncombe","Contains FF and solar/wind "
"37023","NC","Burke","Contains solar/wind"
"37025","NC","Cabarrus","Contains solar/wind"
"37027","NC","Caldwell","Contains solar/wind"
"37029","NC","Camden","Contains solar/wind"
"37033","NC","Caswell","Contains solar/wind"
"37035","NC","Catawba","Contains FF and solar/wind "
"37037","NC","Chatham","Contains solar/wind"
"37039","NC","Cherokee","Other plant"
"37041","NC","Chowan","Contains solar/wind"
"37043","NC","Clay","Other plant"
"37045","NC","Cleveland","Contains FF and solar/wind "
"37047","NC","Columbus","Contains solar/wind"
"37049","NC","Craven","Contains solar/wind"
"37051","NC","Cumberland","Contains solar/wind"
"37053","NC","Currituck","Contains solar/wind"
"37057","NC","Davidson","Other plant"
"37059","NC","Davie","Contains solar/wind"
"37061","NC","Duplin","Contains solar/wind"
"37063","NC","Durham","Contains solar/wind"
"37065","NC","Edgecombe","Contains solar/wind"
"37067","NC","Forsyth","Contains solar/wind"
"37069","NC","Franklin","Contains solar/wind"
"37071","NC","Gaston","Contains FF and solar/wind "
"37073","NC","Gates","Contains solar/wind"
"37075","NC","Graham","Other plant"
"37077","NC","Granville","Contains solar/wind"
"37079","NC","Greene","Contains solar/wind"
"37081","NC","Guilford","Contains solar/wind"
"37083","NC","Halifax","Contains solar/wind"
"37085","NC","Harnett","Contains solar/wind"
"37087","NC","Haywood","Contains FF and solar/wind "
"37089","NC","Henderson","Contains solar/wind"
"37091","NC","Hertford","Contains solar/wind"
"37093","NC","Hoke","Contains solar/wind"
"37095","NC","Hyde","Contains solar/wind"
"37097","NC","Iredell","Contains solar/wind"
"37099","NC","Jackson","Other plant"
"37101","NC","Johnston","Contains solar/wind"
"37103","NC","Jones","Contains solar/wind"
"37105","NC","Lee","Contains solar/wind"
"37107","NC","Lenoir","Contains FF and solar/wind "
"37109","NC","Lincoln","Contains solar/wind"
"37113","NC","Macon","Other plant"
"37115","NC","Madison","Contains solar/wind"
"37117","NC","Martin","Contains solar/wind"
"37119","NC","Mecklenburg","Contains solar/wind"
"37123","NC","Montgomery","Contains solar/wind"
"37125","NC","Moore","Contains solar/wind"
"37127","NC","Nash","Contains solar/wind"
"37129","NC","New Hanover","Contains FF and solar/wind "
"37131","NC","Northampton","Contains solar/wind"
"37133","NC","Onslow","Contains solar/wind"
"37135","NC","Orange","Contains FF and solar/wind "
"37137","NC","Pamlico","Contains solar/wind"
"37139","NC","Pasquotank","Contains solar/wind"
"37141","NC","Pender","Contains solar/wind"
"37143","NC","Perquimans","Contains solar/wind"
"37145","NC","Person","Contains FF and solar/wind "
"37147","NC","Pitt","Contains solar/wind"
"37149","NC","Polk","Other plant"
"37151","NC","Randolph","Contains solar/wind"
"37153","NC","Richmond","Contains FF and solar/wind "
"37155","NC","Robeson","Contains solar/wind"
"37157","NC","Rockingham","Contains FF and solar/wind "
"37159","NC","Rowan","Contains FF and solar/wind "
"37161","NC","Rutherford","Contains solar/wind"
"37163","NC","Sampson","Contains solar/wind"
"37165","NC","Scotland","Contains solar/wind"
"37167","NC","Stanly","Contains solar/wind"
"37169","NC","Stokes","Contains FF and solar/wind "
"37171","NC","Surry","Contains solar/wind"
"37173","NC","Swain","Other plant"
"37179","NC","Union","Contains solar/wind"
"37181","NC","Vance","Contains solar/wind"
"37183","NC","Wake","Contains FF and solar/wind "
"37185","NC","Warren","Contains solar/wind"
"37187","NC","Washington","Contains solar/wind"
"37191","NC","Wayne","Contains FF and solar/wind "
"37195","NC","Wilson","Contains FF and solar/wind "
"37197","NC","Yadkin","Contains solar/wind"
"45003","SC","Aiken","Contains FF and solar/wind "
"45005","SC","Allendale","Contains solar/wind"
"45007","SC","Anderson","Contains FF and solar/wind "
"45009","SC","Bamberg","Contains solar/wind"
"45011","SC","Barnwell","Contains solar/wind"
"45013","SC","Beaufort","Contains FF and solar/wind "
"45015","SC","Berkeley","Contains FF and solar/wind "
"45017","SC","Calhoun","Contains FF and solar/wind "
"45019","SC","Charleston","Contains FF"
"45021","SC","Cherokee","Contains FF and solar/wind "
"45023","SC","Chester","Other plant"
"45025","SC","Chesterfield","Contains solar/wind"
"45027","SC","Clarendon","Contains solar/wind"
"45029","SC","Colleton","Contains solar/wind"
"45031","SC","Darlington","Contains solar/wind"
"45033","SC","Dillon","Contains solar/wind"
"45035","SC","Dorchester","Other plant"
"45039","SC","Fairfield","Other plant"
"45041","SC","Florence","Contains solar/wind"
"45043","SC","Georgetown","Contains FF"
"45045","SC","Greenville","Contains solar/wind"
"45047","SC","Greenwood","Contains solar/wind"
"45049","SC","Hampton","Contains solar/wind"
"45051","SC","Horry","Contains solar/wind"
"45053","SC","Jasper","Contains FF and solar/wind "
"45055","SC","Kershaw","Other plant"
"45057","SC","Lancaster","Contains solar/wind"
"45061","SC","Lee","Contains solar/wind"
"45063","SC","Lexington","Contains FF and solar/wind "
"45065","SC","McCormick","Other plant"
"45067","SC","Marion","Contains solar/wind"
"45069","SC","Marlboro","Contains solar/wind"
"45071","SC","Newberry","Contains solar/wind"
"45073","SC","Oconee","Contains FF"
"45075","SC","Orangeburg","Contains FF and solar/wind "
"45077","SC","Pickens","Contains FF"
"45079","SC","Richland","Contains FF and solar/wind "
"45081","SC","Saluda","Contains solar/wind"
"45083","SC","Spartanburg","Contains solar/wind"
"45087","SC","Union","Contains solar/wind"
"45089","SC","Williamsburg","Contains solar/wind"
"45091","SC","York","Other plant"
"47001","TN","Anderson","Contains FF and solar/wind "
"47003","TN","Bedford","Contains solar/wind"
"47005","TN","Benton","Other plant"
"47009","TN","Blount","Other plant"
"47019","TN","Carter","Other plant"
"47027","TN","Clay","Other plant"
"47037","TN","Davidson","Contains FF and solar/wind "
"47041","TN","DeKalb","Other plant"
"47043","TN","Dickson","Other plant"
"47047","TN","Fayette","Contains solar/wind"
"47051","TN","Franklin","Other plant"
"47059","TN","Greene","Contains solar/wind"
"47065","TN","Hamilton","Contains solar/wind"
"47069","TN","Hardeman","Contains solar/wind"
"47071","TN","Hardin","Other plant"
"47073","TN","Hawkins","Contains FF"
"47075","TN","Haywood","Contains FF and solar/wind "
"47079","TN","Henry","Contains solar/wind"
"47085","TN","Humphreys","Contains FF"
"47089","TN","Jefferson","Other plant"
"47093","TN","Knox","Contains FF"
"47103","TN","Lincoln","Contains solar/wind"
"47105","TN","Loudon","Contains FF"
"47109","TN","McNairy","Contains solar/wind"
"47113","TN","Madison","Contains solar/wind"
"47115","TN","Marion","Other plant"
"47125","TN","Montgomery","Other plant"
"47131","TN","Obion","Contains solar/wind"
"47139","TN","Polk","Other plant"
"47143","TN","Rhea","Other plant"
"47145","TN","Roane","Contains FF"
"47149","TN","Rutherford","Contains FF"
"47155","TN","Sevier","Other plant"
"47157","TN","Shelby","Contains FF and solar/wind "
"47159","TN","Smith","Other plant"
"47161","TN","Stewart","Contains FF"
"47163","TN","Sullivan","Contains FF"
"47165","TN","Sumner","Contains FF"
"47177","TN","Warren","Other plant"
"47179","TN","Washington","Contains solar/wind"
"48003","TX","Andrews","Contains FF and solar/wind "
"48009","TX","Archer","Contains solar/wind"
"48013","TX","Atascosa","Contains FF"
"48015","TX","Austin","Contains solar/wind"
"48017","TX","Bailey","Contains solar/wind"
"48021","TX","Bastrop","Contains FF"
"48023","TX","Baylor","Contains solar/wind"
"48025","TX","Bee","Contains solar/wind"
"48027","TX","Bell","Contains FF and solar/wind "
"48029","TX","Bexar","Contains FF and solar/wind "
"48033","TX","Borden","Contains solar/wind"
"48035","TX","Bosque","Contains FF and solar/wind "
"48039","TX","Brazoria","Contains FF and solar/wind "
"48041","TX","Brazos","Contains FF"
"48043","TX","Brewster","Contains solar/wind"
"48045","TX","Briscoe","Contains solar/wind"
"48047","TX","Brooks","Contains solar/wind"
"48049","TX","Brown","Contains solar/wind"
"48053","TX","Burnet","Other plant"
"48057","TX","Calhoun","Contains FF"
"48059","TX","Callahan","Contains solar/wind"
"48061","TX","Cameron","Contains FF and solar/wind "
"48065","TX","Carson","Contains solar/wind"
"48067","TX","Cass","Other plant"
"48069","TX","Castro","Contains solar/wind"
"48071","TX","Chambers","Contains FF"
"48073","TX","Cherokee","Contains FF"
"48075","TX","Childress","Contains solar/wind"
"48077","TX","Clay","Contains solar/wind"
